code;signification
CSIG;CSIG
PABA;PABA
ABIM;ABIM
LENTX;LENTX
DECXF;DECXF
CXPIN;CXPIN
GRES;GRES
NAVIG;NAVIG
ASYNC;ASYNC
PCOWI;PCOWI
CHCRY;CHCRY
RENCC;RENCC
ATON;ATON
MODEF;MODEF
IMFIG;IMFIG
INVN;INVN
DEDEF;DEDEF
IDTV;IDTV
PADSL;PADSL
IMSAC;IMSAC
ABSON;ABSON
BRUI;BRUI
APPD;APPD
RENTE;RENTE
NVLEN;NVLEN
CACOP;CACOP
CPIM;CPIM
REPET;REPET
CBDE;CBDE
CHOPT;CHOPT
AUTHI;AUTHI
KGTV;KGTV
TCDEF;TCDEF
RDLB2;RDLB3
ALMO;ALMO
RELAN;RELAN
PIXEL;PIXEL
DEBIT;DEBIT
DEASS;DEASS
CCOM;CCOM
CONJ;CONJ
PAJV;PAJV
IMANB;IMANB
MSER;MSER
AUDI;AUDI
NVIMP;NVIMP
PRAPP;PRAPP
ASON;ASON
MSRE;MSRE
MSWEB;MSWEB
NVDEX;NVDEX
CX718;CX719
ERRL;ERRL
TOCC;TOCC
CX651;CX652
PSYNC;PSYNC
DICLI;DICLI
CX691;CX692
CXCLI;CXCLI
HSMAI;HSMAI
SSUP;SSUP
CDDI;CDDI
CBDEC;CBDEC
APPAR;APPAR
CX676;CX677
ECBLA;ECBLA
CX638;CX639
CDEC;CDEC
CX633;CX634
LECT;LECT
MSEN;MSEN
POTHE;POTHE
CX735;CX736
EFAX;EFAX
CX678;CX679
POTCA;POTCA
ER678;ER679
ALMOD;ALMOD
CX720;CX721
FNUM;FNUM
CX769;CX770
